-0.981 1 	-0.745991 
-0.9508 1 	-0.755544 
-0.9392 1 	-0.759108 
-0.8616 1 	-0.781324 
-0.7952 1 	-0.797959 
-0.7952 1 	-0.797959 
-0.6724 1 	-0.822926 
-0.6376 1 	-0.828699 
-0.6208 1 	-0.831292 
-0.5588 1 	-0.839825 
-0.556 1 	-0.840173 
-0.5508 1 	-0.840811 
-0.4738 1 	-0.84907 
-0.4482 1 	-0.851347 
-0.4432 1 	-0.851766 
-0.4282 1 	-0.852974 
-0.2294 1 	-0.862876 
-0.2176 1 	-0.863152 
-0.144 1 	-0.86422 
-0.1308 1 	-0.864299 
-0.1116 1 	-0.864356 
-0.0782 1 	-0.8643 
-0.0442 1 	-0.864048 
0.035 1 	-0.862764 
0.0712 1 	-0.861877 
0.0892 1 	-0.86137 
0.102 1 	-0.860984 
0.1386 1 	-0.859765 
0.164 1 	-0.858822 
0.1788 1 	-0.858237 
0.1936 1 	-0.857627 
0.259 1 	-0.854637 
0.2648 1 	-0.854349 
0.2744 1 	-0.853865 
0.2842 1 	-0.853361 
0.2906 1 	-0.853026 
0.3082 1 	-0.852084 
0.3522 1 	-0.84959 
0.4456 1 	-0.843663 
0.4682 1 	-0.842104 
0.4684 1 	-0.84209 
0.5384 1 	-0.836958 
0.6004 1 	-0.832037 
0.6364 1 	-0.829021 
0.643 1 	-0.828456 
0.6686 1 	-0.826225 
0.7254 1 	-0.821066 
0.7636 1 	-0.817434 
0.9162 1 	-0.801624 
0.9844 1 	-0.793883 
