-0.7952 1 	-0.797959 
0.3082 1 	-0.852084 
0.2842 1 	-0.853361 
0.7254 1 	-0.821066 
0.164 1 	-0.858822 
-0.9508 1 	-0.755544 
-0.981 1 	-0.745991 
0.7636 1 	-0.817434 
0.2648 1 	-0.854349 
-0.5508 1 	-0.840811 
-0.6208 1 	-0.831292 
0.2744 1 	-0.853865 
-0.0782 1 	-0.8643 
-0.5588 1 	-0.839825 
0.643 1 	-0.828456 
-0.4282 1 	-0.852974 
0.6004 1 	-0.832037 
-0.0442 1 	-0.864048 
-0.9392 1 	-0.759108 
0.4682 1 	-0.842104 
0.1386 1 	-0.859765 
-0.6724 1 	-0.822926 
0.9844 1 	-0.793883 
0.5384 1 	-0.836958 
0.1936 1 	-0.857627 
0.9162 1 	-0.801624 
-0.1116 1 	-0.864356 
-0.144 1 	-0.86422 
0.259 1 	-0.854637 
0.0892 1 	-0.86137 
-0.2294 1 	-0.862876 
0.2906 1 	-0.853026 
0.3522 1 	-0.84959 
-0.4738 1 	-0.84907 
0.4684 1 	-0.84209 
0.1788 1 	-0.858237 
-0.2176 1 	-0.863152 
0.035 1 	-0.862764 
-0.8616 1 	-0.781324 
-0.4432 1 	-0.851766 
0.102 1 	-0.860984 
0.4456 1 	-0.843663 
-0.7952 1 	-0.797959 
0.0712 1 	-0.861877 
-0.1308 1 	-0.864299 
0.6364 1 	-0.829021 
-0.6376 1 	-0.828699 
-0.4482 1 	-0.851347 
-0.556 1 	-0.840173 
0.6686 1 	-0.826225 
-0.873 1 	-0.433102 
0.8376 1 	-0.0196905 
-0.0896 1 	-0.516066 
0.313 1 	-0.359262 
0.187 1 	-0.422404 
0.8322 1 	-0.0235001 
-0.5332 1 	-0.363467 
0.1104 1 	-0.4552 
-0.4386 1 	-0.399628 
0.3966 1 	-0.312015 
-0.64 1 	-0.363408 
-0.9872 1 	-0.47904 
-0.2022 1 	-0.525261 
0.279 1 	-0.377326 
-0.797 1 	-0.40497 
0.1182 1 	-0.452074 
0.1504 1 	-0.438647 
-0.1152 1 	-0.520525 
0.9516 1 	0.0608792 
-0.5048 1 	-0.370189 
0.5174 1 	-0.237748 
0.1576 1 	-0.435533 
0.3616 1 	-0.332258 
-0.4804 1 	-0.378759 
0.258 1 	-0.38812 
0.5728 1 	-0.201779 
-0.5388 1 	-0.362531 
0.8102 1 	-0.0390017 
0.2972 1 	-0.367744 
-0.8276 1 	-0.41593 
-0.0686 1 	-0.511697 
0.6414 1 	-0.155943 
-0.7536 1 	-0.390587 
-0.3166 1 	-0.48505 
0.2648 1 	-0.384656 
-0.393 1 	-0.43003 
-0.2232 1 	-0.522757 
-0.9628 1 	-0.469035 
0.8438 1 	-0.0153146 
-0.3976 1 	-0.426703 
0.7436 1 	-0.0856579 
0.9904 1 	0.0882295 
-0.6984 1 	-0.375026 
0.4638 1 	-0.271475 
0.4308 1 	-0.291644 
-0.0898 1 	-0.516105 
-0.073 1 	-0.512661 
-0.015 1 	-0.498118 
-0.6516 1 	-0.365219 
0.9124 1 	0.0331776 
