-0.873 1 
0.8376 1 
-0.0896 1 
0.313 1 
0.187 1 
0.8322 1 
-0.5332 1 
0.1104 1 
-0.4386 1 
0.3966 1 
-0.64 1 
-0.9872 1 
-0.2022 1 
0.279 1 
-0.797 1 
0.1182 1 
0.1504 1 
-0.1152 1 
0.9516 1 
-0.5048 1 
0.5174 1 
0.1576 1 
0.3616 1 
-0.4804 1 
0.258 1 
0.5728 1 
-0.5388 1 
0.8102 1 
0.2972 1 
-0.8276 1 
-0.0686 1 
0.6414 1 
-0.7536 1 
-0.3166 1 
0.2648 1 
-0.393 1 
-0.2232 1 
-0.9628 1 
0.8438 1 
-0.3976 1 
0.7436 1 
0.9904 1 
-0.6984 1 
0.4638 1 
0.4308 1 
-0.0898 1 
-0.073 1 
-0.015 1 
-0.6516 1 
0.9124 1 
